Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
33,Grand Theft Auto V,grand-theft-auto-v,Action,M,X360,Rockstar Games,Rockstar North,,,,,15.86,9.06,5.33,0.06,1.42,2013,,http://www.vgchartz.com/game/65883/grand-theft-auto-v/?region=All,1,,/games/boxart/full_9218923AmericaFrontccc.jpg
34,Pokemon Black / White Version,pokmon-black,Role-Playing,E,DS,Nintendo,Game Freak,,8.6,9,15.64,,,,,,2011,,http://www.vgchartz.com/game/44573/pokemon-black-white-version/?region=All,1,,/games/boxart/full_2983232AmericaFrontccc.jpg
35,Call of Duty: Black Ops 3,call-of-duty-black-ops-3,Shooter,M,PS4,Activision,Treyarch,,,,,15.09,6.18,6.05,0.41,2.44,2015,14th Jan 18,http://www.vgchartz.com/game/85359/call-of-duty-black-ops-3/?region=All,1,,/games/boxart/full_4990510AmericaFrontccc.jpg
36,Mario Kart 8 Deluxe,mario-kart-8-deluxe,Racing,E,NS,Nintendo,Nintendo EPD,,9.3,,15.02,,,,,,2017,19th Nov 18,http://www.vgchartz.com/game/153114/mario-kart-8-deluxe/?region=All,1,,/games/boxart/full_895207AmericaFrontccc.png
37,Counter-Strike: Source,counter-strike-source,Shooter,M,PC,VU Games,Valve Software,,9.3,,15,,,,,,2004,,http://www.vgchartz.com/game/12531/counter-strike-source/?region=All,1,,/games/boxart/full_9030886AmericaFrontccc.jpg
38,Sonic the Hedgehog,sonic-the-hedgehog,Platform,,GEN,Sega,Sonic Team,,,,15,,,,,,1991,,http://www.vgchartz.com/game/6427/sonic-the-hedgehog/?region=All,1,,/games/boxart/4697634ccc.jpg
39,Gran Turismo 3: A-Spec,gran-turismo-3-a-spec,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,,9.3,,14.89,,,,,,2001,,http://www.vgchartz.com/game/886/gran-turismo-3-a-spec/?region=All,1,,/games/boxart/full_5113832AmericaFrontccc.jpg
40,Brain Age 2: More Training in Minutes a Day,brain-age-2-more-training-in-minutes-a-day,Misc,E,DS,Nintendo,Nintendo SDD,,8,,14.88,,,,,,2007,,http://www.vgchartz.com/game/3841/brain-age-2-more-training-in-minutes-a-day/?region=All,1,,/games/boxart/full_1039696AmericaFrontccc.jpg
41,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,X360,Activision,Infinity Ward,,8.7,,,14.82,9.07,4.29,0.13,1.33,2011,,http://www.vgchartz.com/game/44606/call-of-duty-modern-warfare-3/?region=All,1,,/games/boxart/full_call-of-duty-modern-warfare-3_517AmericaFront.jpg
42,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,X360,Activision,Treyarch,,8.8,,,14.74,9.76,3.73,0.11,1.14,2010,,http://www.vgchartz.com/game/44952/call-of-duty-black-ops/?region=All,1,,/games/boxart/full_call-of-duty-black-ops_5AmericaFront.jpg
43,Pokemon Yellow: Special Pikachu Edition,pokemon-yellow-special-pikachu-edition,Role-Playing,E,GB,Nintendo,Game Freak,,8.7,,14.64,,,,,,1999,,http://www.vgchartz.com/game/4035/pokemon-yellow-special-pikachu-edition/?region=All,1,,/games/boxart/4260472ccc.jpg
44,Halo 3,halo-3,Shooter,M,X360,Microsoft Game Studios,Bungie Studios,,9.6,9.5,14.5,,,,,,2007,11th Oct 18,http://www.vgchartz.com/game/6964/halo-3/?region=All,1,8.8,/games/boxart/full_8373567AmericaFrontccc.jpg
45,Pokemon Omega Ruby/Pokemon Alpha Sapphire,pokmon-omega-ruby,Role-Playing,E,3DS,Nintendo,Game Freak,,,,14.17,,,,,,2014,03rd Aug 18,http://www.vgchartz.com/game/81906/pokemon-omega-rubypokemon-alpha-sapphire/?region=All,1,,/games/boxart/full_5184866AmericaFrontccc.png
46,Red Dead Redemption 2,red-dead-redemption-2,Action-Adventure,M,PS4,Rockstar Games,Rockstar Games,,9.8,,,13.94,5.26,6.21,0.21,2.26,2018,02nd Nov 18,http://www.vgchartz.com/game/140683/red-dead-redemption-2/?region=All,1,8,/games/boxart/full_4653215AmericaFrontccc.jpg
47,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,X360,Activision,Treyarch,,,,,13.86,8.27,4.32,0.07,1.2,2012,07th Apr 18,http://www.vgchartz.com/game/70716/call-of-duty-black-ops-ii/?region=All,1,,/games/boxart/full_1977964AmericaFrontccc.jpg
48,Call of Duty: Black Ops II,call-of-duty-black-ops-ii,Shooter,M,PS3,Activision,Treyarch,,,,,13.8,4.99,5.88,0.65,2.28,2012,07th Apr 18,http://www.vgchartz.com/game/70715/call-of-duty-black-ops-ii/?region=All,1,,/games/boxart/full_4649679AmericaFrontccc.png
49,Super Mario Odyssey,super-mario-odyssey,Platform,E10,NS,Nintendo,Nintendo EPD,,9.9,,13.76,,,,,,2017,19th Nov 18,http://www.vgchartz.com/game/152831/super-mario-odyssey/?region=All,1,,/games/boxart/full_1659701AmericaFrontccc.jpg
50,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,X360,Activision,Infinity Ward,,9.5,9,,13.53,8.54,3.63,0.08,1.28,2009,,http://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/?region=All,1,9,/games/boxart/full_809251AmericaFrontccc.jpg
51,Call of Duty: WWII,call-of-duty-wwii,Shooter,M,PS4,Activision,Sledgehammer Games,,8,,,13.4,4.67,6.21,0.4,2.12,2017,31st Dec 17,http://www.vgchartz.com/game/170599/call-of-duty-wwii/?region=All,1,,/games/boxart/full_4380292AmericaFrontccc.jpg
52,Call of Duty: Modern Warfare 3,call-of-duty-modern-warfare-3,Shooter,M,PS3,Activision,Infinity Ward,,8.8,,,13.35,5.54,5.78,0.49,1.54,2011,,http://www.vgchartz.com/game/44605/call-of-duty-modern-warfare-3/?region=All,1,,/games/boxart/full_call-of-duty-modern-warfare-3_278AmericaFront.jpg
53,Super Smash Bros. Brawl,super-smash-bros-brawl,Fighting,T,Wii,Nintendo,Project Sora,,9.2,9.7,13.29,,,,,,2008,,http://www.vgchartz.com/game/6962/super-smash-bros-brawl/?region=All,1,9.2,/games/boxart/full_4169332AmericaFrontccc.jpg
54,Grand Theft Auto III,grand-theft-auto-iii,Action,M,PS2,Rockstar Games,DMA Design,,9.5,,,13.1,6.99,4.51,0.3,1.3,2001,,http://www.vgchartz.com/game/891/grand-theft-auto-iii/?region=All,1,,/games/boxart/3570928ccc.jpg
55,New Super Mario Bros. 2,new-super-mario-bros-2,Platform,E,3DS,Nintendo,Nintendo,,7.5,,13.08,,,,,,2012,30th Jan 18,http://www.vgchartz.com/game/70735/new-super-mario-bros-2/?region=All,1,,/games/boxart/full_9872028AmericaFrontccc.jpg
56,Portal 2,portal-2,Shooter,E10,PC,Valve,Valve Software,,9.7,,13.06,,,,,,2011,,http://www.vgchartz.com/game/43865/portal-2/?region=All,1,,/games/boxart/full_portal-2_617AmericaFront.jpg
57,Minecraft,minecraft,Misc,E10,X360,Microsoft Studios,Mojang,,,,13,,,,,,2013,05th Aug 18,http://www.vgchartz.com/game/51765/minecraft/?region=All,1,,/games/boxart/full_7845034AmericaFrontccc.jpg
58,Super Mario Galaxy,super-mario-galaxy,Platform,E,Wii,Nintendo,Nintendo EAD Tokyo,,9.7,9.6,12.78,,,,,,2007,,http://www.vgchartz.com/game/6963/super-mario-galaxy/?region=All,1,9.6,/games/boxart/full_5542974AmericaFrontccc.jpg
59,Pokemon Heart Gold / Soul Silver Version,pokmon-heart-gold,Role-Playing,E,DS,Nintendo,Game Freak,,8.6,,12.72,,,,,,2010,,http://www.vgchartz.com/game/34267/pokemon-heart-gold-soul-silver-version/?region=All,1,8.5,/games/boxart/full_2733841AmericaFrontccc.jpg
60,Call of Duty: Black Ops,call-of-duty-black-ops,Shooter,M,PS3,Activision,Treyarch,,8.7,,,12.67,6.01,4.4,0.48,1.78,2010,,http://www.vgchartz.com/game/44951/call-of-duty-black-ops/?region=All,1,,/games/boxart/full_call-of-duty-black-ops_3AmericaFront.jpg
61,Grand Theft Auto V,grand-theft-auto-v,Action,M,PC,Rockstar Games,Rockstar North,,,,12.6,,,,,,2015,02nd Nov 18,http://www.vgchartz.com/game/83197/grand-theft-auto-v/?region=All,1,,/games/boxart/full_9031276AmericaFrontccc.jpg
62,Super Mario 3D Land,super-mario-3d-land,Platform,E,3DS,Nintendo,Nintendo EAD Tokyo,,8.9,,12.41,,,,,,2011,06th Apr 18,http://www.vgchartz.com/game/50395/super-mario-3d-land/?region=All,1,,/games/boxart/full_super-mario-3dland_167AmericaFront.jpg
63,Animal Crossing: New Leaf,animal-crossing-new-leaf,Simulation,E,3DS,Nintendo,Nintendo EAD,,8.6,,12.1,,,,,,2013,02nd Jan 18,http://www.vgchartz.com/game/71137/animal-crossing-new-leaf/?region=All,1,,/games/boxart/full_7774244AmericaFrontccc.jpg
64,Super Smash Bros. Ultimate,super-smash-bros-ultimate,Fighting,E10,NS,Nintendo,Bandai Namco Games,,9.4,9.7,12.08,,,,,,2018,18th Oct 18,http://www.vgchartz.com/game/221289/super-smash-bros-ultimate/?region=All,1,9,/games/boxart/full_8423750AmericaFrontccc.jpg
65,Diablo III,diablo-iii,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,,9,,12,,,,,,2012,03rd Jan 18,http://www.vgchartz.com/game/24178/diablo-iii/?region=All,1,8.4,/games/boxart/full_diablo-iii_550AmericaFront.jpg
66,Pokemon FireRed / LeafGreen Version,pokmon-firered,Role-Playing,E,GBA,Nintendo,Game Freak,,8.3,,12,,,,,,2004,,http://www.vgchartz.com/game/4024/pokemon-firered-leafgreen-version/?region=All,1,,/games/boxart/full_5668335AmericaFrontccc.jpg
67,Gran Turismo 5,gran-turismo-5,Racing,E,PS3,Sony Computer Entertainment,Polyphony Digital,,8.3,,11.95,,,,,,2010,,http://www.vgchartz.com/game/7678/gran-turismo-5/?region=All,1,,/games/boxart/full_gran-turismo-5_118AmericaFront.png
68,Super Mario 64,super-mario-64,Platform,E,N64,Nintendo,Nintendo EAD,,9.7,,11.91,,,,,,1996,,http://www.vgchartz.com/game/2278/super-mario-64/?region=All,1,,/games/boxart/full_9007863AmericaFrontccc.jpg
69,FIFA 18,fifa-18,Sports,E,PS4,EA Sports,EA Vancouver,,8.3,,,11.8,1.27,8.64,0.15,1.73,2017,02nd Apr 18,http://www.vgchartz.com/game/180525/fifa-18/?region=All,1,,/games/boxart/full_5257064AmericaFrontccc.jpg
70,Gran Turismo 4,gran-turismo-4,Racing,E,PS2,Sony Computer Entertainment,Polyphony Digital,,8.7,,11.76,,,,,,2005,,http://www.vgchartz.com/game/887/gran-turismo-4/?region=All,1,,/games/boxart/full_8555381AmericaFrontccc.jpg
71,Animal Crossing: Wild World,animal-crossing-wild-world,Simulation,E,DS,Nintendo,Nintendo EAD,,8.5,,11.75,,,,,,2005,,http://www.vgchartz.com/game/82/animal-crossing-wild-world/?region=All,1,,/games/boxart/full_8328377AmericaFrontccc.jpg
72,The Legend of Zelda: Breath of the Wild,the-legend-of-zelda-breath-of-the-wild,Action-Adventure,E10,NS,Nintendo,Nintendo EPD,,9.9,10,11.68,,,,,,2017,19th Nov 18,http://www.vgchartz.com/game/118753/the-legend-of-zelda-breath-of-the-wild/?region=All,1,,/games/boxart/full_4436858AmericaFrontccc.png
73,Super Mario Land 2: 6 Golden Coins,super-mario-land-2-6-golden-coins,Platform,E,GB,Nintendo,Nintendo R&D1,,9,,11.18,,,,,,1992,,http://www.vgchartz.com/game/4437/super-mario-land-2-6-golden-coins/?region=All,1,,/games/boxart/full_5947486AmericaFrontccc.jpg
74,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,X360,Rockstar Games,Rockstar North,,10,,,11.09,6.8,3.11,0.14,1.04,2008,,http://www.vgchartz.com/game/7103/grand-theft-auto-iv/?region=All,1,9,/games/boxart/full_1182151AmericaFrontccc.jpg
75,Super Mario 64 DS,super-mario-64-ds,Platform,E,DS,Nintendo,Nintendo EAD,,8.6,,11.06,,,,,,2004,,http://www.vgchartz.com/game/2279/super-mario-64-ds/?region=All,1,,/games/boxart/full_1719347AmericaFrontccc.jpg
76,Terraria,terraria,Platform,T,PC,Unknown,Re-Logic,,8.8,,11,,,,,,2011,19th Mar 18,http://www.vgchartz.com/game/51349/terraria/?region=All,1,,/games/boxart/full_terraria_497AmericaFront.jpg
77,FIFA 17,fifa-17,Sports,E,PS4,Electronic Arts,EA Canada,,8.9,,,10.94,1.26,7.95,0.12,1.61,2016,28th Mar 18,http://www.vgchartz.com/game/117272/fifa-17/?region=All,1,,/games/boxart/full_7661370AmericaFrontccc.jpg
78,Gran Turismo,gran-turismo,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,,9.5,,10.85,,,,,,1998,,http://www.vgchartz.com/game/884/gran-turismo/?region=All,1,,/games/boxart/6215143ccc.jpg
79,Call of Duty: Modern Warfare 2,call-of-duty-modern-warfare-2,Shooter,M,PS3,Activision,Infinity Ward,,9.5,,,10.61,4.99,3.66,0.38,1.59,2009,,http://www.vgchartz.com/game/28847/call-of-duty-modern-warfare-2/?region=All,1,9,/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg
80,Grand Theft Auto IV,grand-theft-auto-iv,Action,M,PS3,Rockstar Games,Rockstar North,,10,9,,10.57,4.79,3.73,0.44,1.62,2008,,http://www.vgchartz.com/game/7102/grand-theft-auto-iv/?region=All,1,9,/games/boxart/full_1729769AmericaFrontccc.jpg
81,Super Mario All-Stars,super-mario-all-stars,Platform,E,SNES,Nintendo,Nintendo EAD,,,9.5,10.55,,,,,,1993,,http://www.vgchartz.com/game/4432/super-mario-all-stars/?region=All,1,,/games/boxart/8836826ccc.jpg
82,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,X360,Activision,Infinity Ward,,6.9,,,10.41,6.76,2.64,0.04,0.98,2013,21st Mar 18,http://www.vgchartz.com/game/71508/call-of-duty-ghosts/?region=All,1,,/games/boxart/full_8522439AmericaFrontccc.jpg
83,Just Dance 3,just-dance-3,Misc,E10,Wii,Ubisoft,Ubisoft Paris,,7.5,,,10.14,5.95,3.13,,1.06,2011,,http://www.vgchartz.com/game/48264/just-dance-3/?region=All,1,,/games/boxart/full_just-dance-3_883AmericaFront.jpg
84,Call of Duty: Ghosts,call-of-duty-ghosts,Shooter,M,PS3,Activision,Infinity Ward,,7.5,,,10.13,4.11,4.01,0.39,1.62,2013,21st Mar 18,http://www.vgchartz.com/game/71507/call-of-duty-ghosts/?region=All,1,,/games/boxart/full_3698558AmericaFrontccc.jpg
85,Horizon: Zero Dawn,horizon-zero-dawn,Action,T,PS4,Sony Interactive Entertainment,Guerrilla Games,,9.1,8,10,,,,,,2017,15th Jan 18,http://www.vgchartz.com/game/85674/horizon-zero-dawn/?region=All,1,,/games/boxart/full_719511AmericaFrontccc.jpg
86,"Pokemon: Let's Go, Pikachu/Eevee"," pikachueevee""",Role-Playing,E,NS,Nintendo,Game Freak,,,,10,,,,,,2018,31st Jan 19,http://www.vgchartz.com/game/223377/pokemon-lets-go-pikachueevee/?region=All,1,,/games/boxart/full_2669309AmericaFrontccc.jpg
87,RollerCoaster Tycoon 3,rollercoaster-tycoon-3,Strategy,E,PC,Atari,Frontier Developments,,8.3,,10,,,,,,2004,,http://www.vgchartz.com/game/7415/rollercoaster-tycoon-3/?region=All,1,,/games/boxart/full_6560922AmericaFrontccc.jpg
88,Halo: Reach,halo-reach,Shooter,M,X360,Microsoft Game Studios,Bungie,,9.3,,,9.97,7.08,2.01,0.08,0.8,2010,11th Oct 18,http://www.vgchartz.com/game/35024/halo-reach/?region=All,1,,/games/boxart/full_halo-reach_6AmericaFront.jpg
89,Portal,portal,Shooter,T,PC,Valve Corporation,Valve Software,,9,,9.97,,,,,,2008,,http://www.vgchartz.com/game/12414/portal/?region=All,1,,/games/boxart/5574270ccc.jpg
90,Halo 4,halo-4,Shooter,M,X360,Microsoft Studios,343 Industries,,,,,9.96,6.72,2.36,0.04,0.83,2012,,http://www.vgchartz.com/game/51758/halo-4/?region=All,1,,/games/boxart/full_2236292AmericaFrontccc.png
91,Final Fantasy VII,final-fantasy-vii,Role-Playing,T,PS,Sony Computer Entertainment,SquareSoft,,9.6,9.5,9.9,,,,,,1997,23rd Mar 19,http://www.vgchartz.com/game/756/final-fantasy-vii/?region=All,1,,/games/boxart/1190945ccc.jpg
92,Mario Kart 64,mario-kart-64,Racing,E,N64,Nintendo,Nintendo EAD,,8.5,,9.87,,,,,,1997,,http://www.vgchartz.com/game/1253/mario-kart-64/?region=All,1,,/games/boxart/full_8835641AmericaFrontccc.jpg
93,StarCraft,starcraft,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,,8.7,,9.5,,,,,,1998,23rd Nov 18,http://www.vgchartz.com/game/7214/starcraft/?region=All,1,,/games/boxart/3959329ccc.jpg
94,Super Smash Bros. for 3DS,super-smash-bros-for-3ds,Fighting,E10,3DS,Nintendo,Bandai Namco Games,,8.4,,9.45,,,,,,2014,11th Apr 18,http://www.vgchartz.com/game/73239/super-smash-bros-for-3ds/?region=All,1,,/games/boxart/full_4463374AmericaFrontccc.jpg
95,Call of Duty 4: Modern Warfare,call-of-duty-4-modern-warfare,Shooter,M,X360,Activision,Infinity Ward,,9.6,9,,9.41,5.98,2.39,0.13,0.91,2007,,http://www.vgchartz.com/game/7316/call-of-duty-4-modern-warfare/?region=All,1,,/games/boxart/full_4481633AmericaFrontccc.jpg
96,Gran Turismo 2,gran-turismo-2,Racing,E,PS,Sony Computer Entertainment,Polyphony Digital,,9.2,,9.37,,,,,,1999,,http://www.vgchartz.com/game/885/gran-turismo-2/?region=All,1,,/games/boxart/45196ccc.jpg
97,Wii Party,wii-party,Misc,E,Wii,Nintendo,"Nd Cube Co., Ltd.",,7,,9.32,,,,,,2010,,http://www.vgchartz.com/game/45079/wii-party/?region=All,1,,/games/boxart/full_wii-party_1AmericaFront.jpg
98,Call of Duty: Black Ops IIII,call-of-duty-black-ops-iiii,Shooter,M,PS4,Activision,Treyarch,,,,,9.32,4.05,3.28,0.5,1.49,2018,07th Nov 18,http://www.vgchartz.com/game/221291/call-of-duty-black-ops-iiii/?region=All,1,,/games/boxart/full_6532460AmericaFrontccc.jpg
99,Mario Party DS,mario-party-ds,Misc,E,DS,Nintendo,Hudson Soft,,7.1,,9.31,,,,,,2007,,http://www.vgchartz.com/game/6973/mario-party-ds/?region=All,1,,/games/boxart/full_7340729AmericaFrontccc.jpg
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
